OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2037,Bacteria,Acidobacteriota,Blastocatellia,24-Nov,24-Nov,24-Nov,uncultured_bacterium,BOTU_2037_uncultured_bacterium
BOTU_2034,Bacteria,Chloroflexi,AD3,AD3,AD3,AD3,unidentified,BOTU_2034_AD3
BOTU_2039,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,unidentified,BOTU_2039_0319-6G20
BOTU_2030,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna_xylanovorans,BOTU_2030_Anaerocolumna_xylanovorans
BOTU_2040,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadales,Armatimonadales,uncultured_bacterium,BOTU_2040_uncultured_bacterium
BOTU_2046,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium,BOTU_2046_uncultured_bacterium
BOTU_2038,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,BOTU_2038_uncultured_bacterium
BOTU_2048,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,BOTU_2048_uncultured_bacterium
BOTU_2043,Bacteria,Armatimonadota,uncultured,uncultured,uncultured,uncultured,unidentified,BOTU_2043_uncultured
BOTU_2042,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,uncultured_bacterium,BOTU_2042_uncultured_bacterium
BOTU_2045,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,unidentified,BOTU_2045_Chitinophagaceae
BOTU_2044,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,unidentified,BOTU_2044_Bryobacter
BOTU_2051,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae,uncultured_bacterium,BOTU_2051_uncultured_bacterium
BOTU_2053,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2053_unidentified
BOTU_2054,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409,uncultured_bacterium,BOTU_2054_uncultured_bacterium
BOTU_2049,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,uncultured_bacterium,BOTU_2049_uncultured_bacterium
BOTU_2047,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,unidentified,unidentified,BOTU_2047_uncultured
BOTU_2052,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,RBG-13-54-9,RBG-13-54-9,unidentified,BOTU_2052_RBG-13-54-9
BOTU_2050,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured,uncultured,uncultured,uncultured_bacterium,BOTU_2050_uncultured_bacterium
BOTU_2041,Bacteria,Firmicutes,Bacilli,unidentified,unidentified,unidentified,unidentified,BOTU_2041_Bacilli
